id,text,translate,label,
1.37E+18,"With inflation looming and US bond yields rising sharply, I am topping up on the cyclicals and a few stocks that could benefit from vaccine rollouts and economies reopening. Cyclicals imply value.",,X OR 0,
1.38E+18,"1 million Pfizer doses expected this week. London’s N6A neighbourhood has highest positivity rate in the province. Most under 55. Not AZers. Advocate to protect N6A
@Westernu @Healthmac @PublicHealthON @celliottability @fordnation",,1,
1.41E+18,Audience members had to show proof of full vaccination to get into the show  via @TheWrap,,1,
1.42E+18,School districts and some teachers unions are pushing to get students vaccinated,,1,
1.42E+18,"Idaho officials protect vaccine mandate with lies about supporting limited government   

#idleg #idpol",,X,
1.41E+18,"Through a new UNHCR partnership, The Pfizer Foundation is helping address the refugee crisis in Colombia and Bangladesh. Learn more about concrete ways we can all help #StandWithRefugees #PFEColleague",,X,
1.39E+18,Ohio incentivizing people to get vaccinated for a chance at a million dollars is better odds than the lottery,,1,
1.43E+18,"OPINION: No, COVID-19 vaccine passports and mandatory vaccination do not 'protect the health and safety of Canadians'",,0 or -1,
1.39E+18,"Jo BJP ko nagna kare vo Rajiniti karta hai.
BJP Oxygen and Vaccine par bhi jhuth bolne aur rajniti se  baaj nahi aati.",,X,
1.38E+18,New York Launches the First Digital COVID-19 Vaccine Passports in the US,,X,
1.42E+18,All these people made about lollapalooza @lollapalooza and COVID. At the end of the day the world's gotta go on. People are getting vaccinated which is where the virus is literally injected... then we see spikes In cases.. kinda interesting ay,,-1,
1.45E+18,"Yesterday, @SenTedCruz and a bunch of ding dongs were mewling about Southwest pilots being heroes and walking off the job bc of vaccine mandates and whaddyaknow it was all bs. 

Vaccine Mandates Had Nothing To Do With The Massive Flight Cancellations",,0,
1.37E+18,"We still have appointments available for the Moderna COVID-19 Vaccine Clinic being held on Wednesday, March 24th. Call 419-738-3410 and select option 1 to schedule an appointment.",,1,
1.38E+18,Students at Winston-Salem State and Wake Forest will take part in COVID-19 vaccine trial  via @JournalNow #Covid19research,,1,
1.43E+18,"📢A week to go to get vaccinated at Basingstoke Fire Station Vaccination Centre. 
💉Anyone aged 16+, who is eligible for the jab can come forward within the next week before the fire station will be handed back to @HantsIOW_fire 
Read more here: 
@HIOW_ICS",,1,
1.37E+18,"One word springs to mind Dxxk$$$$&amp;! If you don't want the vaccine don't have it, simple.
AstraZeneca counters Indonesian Muslim concerns over COVID-19 vaccine",,0,
1.42E+18,'My vaccine refusal is causing tension with friends - but I don't feel selfish',,-1,
1.41E+18,i got my vaccine and i kinda forgot 💔😢 — it's ok i understand that vaccine made me pass out for like 4h after that first dose,,0,
1.43E+18,Government downplays plan to protect officials against vaccine lawsuits #Thailand #news #Thailandnews,,X,
1.40E+18,"President Nana Addo Dankwa Akufo-Addo has described as sad, Africa’s scramble for COVID-19 vaccines for its people. He says, the inability of countries on the continent to manufacture their own vaccines and the struggle to develop diagnostic test kits...",,0 or X,
1.38E+18,Moderna : U.S. administers 202.3 mln doses of COVID-19 vaccines - CDC,,X,
1.43E+18,"AGAIN I WILL POST THIS
if ANYONE is requiring you to take a vax for your job or to anything. 
THEY should be responsible for any and all side effects!",,-1,
