id,text,Anotator-1,Annotator-2,Annotator-3,Final annotation,,
1.40E+18,caralho eua tirou o brasil da lista pra doação de vacinas da pfizer pqp fudeu,,,1,,,Cares about vacccination supply
1.37E+18,Indre : près de 20.000 nouvelles doses de vaccins Pfizer attendue en avril,,,0,,,Neither aversion nor likability can be extracted.
1.40E+18,i got vaccinated on monday and now my period is like a week late i wonder is it just gonna just skip now or am i in for a surprise at an inconvenient time hm,,,0,,,Neither aversion nor likability can be extracted.
1.42E+18,"We need fewer excuses and more action. Sort out the vaccine rollout and reinstate JobKeeper now - thousands, if not millions, of livelihoods hang in the balance",,,1,,,Cares about vacccination distribution
1.42E+18,"Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",,,1,,,
1.40E+18,"** NO   Mask !!!
** NO   Vaccine !!!
** NO   Control !!!
**  Deep  State  Out !!!",,,-1,,,** NO   Vaccine !!!
1.40E+18,So thankful live music is back. Missed it more than anything else. The great @toddsnider at the great ⁦@KesslerTheater⁩ Thank you to everyone who has been vaccinated for allowing this to happen-tell a friend.,,,1,,,thanking vaccinates ppl
1.39E+18,"Theres a few concerning reasons you suddenly do what the CDC did with no way of proving your vaccinated status...create fear, cause another surge, or say theres another surge...which leads to mandatory vaccinations at most businesses and/or the dreaded passport.",,,0,,,Neither aversion nor likability can be extracted.
1.42E+18,"Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",,,0,,,Neither aversion nor likability can be extracted.
1.39E+18,PETITION: Say NO to mandatory vaccination for the coronavirus,,,-1,,,Against mandatory vaccination.
1.40E+18,Budak budak mmg dok buat anti vax teruk2 eh? Ya Allah meluat la tgk dok buat sempoii gila2! Fakof,,,1,,,"Sarcastically making fun of anti vax ppl, by saying ppl who took it did not go crazy."
1.44E+18,when your state makes national news for covid cases bc most people literally refuse to wear masks or get vaccinated or stop being in large crowds if they’re not 👌🏽,,,0,,,
1.39E+18,"O Presidente da Pfizer tinha pedido uma reunião com o Bolsonaro para negociarem a compra das vacinas.

A reunião tinha sido marcada para o dia 17/11, mas o Bolsonaro não foi, ele preferiu ir para um evento com o Amado Batista.",,,0,,,
1.39E+18,Fico imaginando quantas famílias não estariam chorando nesse momento se essa vacina da Pfizer tivesse sido levada a sério ainda no ano passado.,,,-1,,,Sarcastically saying pfizer is ineffective
1.43E+18,@WBrettWilson @brianlilley now 100% clear that fully vaccinated are responsible for emergence of variants and spreading them. The vaccination program is causing much more harm than benefit. Go to 40 minute mark to start listening if not time for all of it.,,,-1,,,
1.40E+18,"After 9 pm vaccine debate, one doubt cleared: all experts maintain vaccines have always been procured by ONLY the centre. Then why reverse policy for Covid to allow states to put out competing global tenders instead of one ‘national’ tender? State pressure or to pass the buck?🙏",,,0,,,
1.38E+18,I think the only vaccine side effect I have is that I’m really tired. So I’m gonna sleep!!,,,1,,,
1.41E+18,"COVID-19 vaccine shortage hits Indian capital, several states  #vanguardnews",,,0,,,
1.44E+18,"If You Get a Pfizer Booster, Expect These Side Effects, New FDA Report Says #SmartNews",,,0,,,
1.41E+18,"@OSHA_DOL""self-atest"" you mean #LIE?
So employees could sue if they get #covid from a non-masked unvaccinated Liar. 

Cal/OSHA Votes To Let Vaccinated Employees Shed Face Masks In The Workplace – CBS Los Angeles",,,1,,,
1.39E+18,I wonder if there's a study anywhere that proves a correlation between people who refused to wear a mask/get the vaccine and people who are more willing to drive drunk.,,,1,,,Sarcasticly saying antivaccinations are drunk
1.38E+18,This vaccine is kicking my ass so I’m having cheesy pasta for breakfast,,,0,,,
1.42E+18,"Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",,,1,,,
1.44E+18,"I have given a lot of thought about the vaccine and my son, there is no way I am having my only son take this drug.",,,-1,,,
1.42E+18,"The COVID-19 vaccine followed the same safety tests as over 600 clinical trials.

If you haven't already, get your 1st or 2nd dose of the vaccine today at a local vaccine site near you. 2nd jabs available 8 weeks after your 1st one.

All details here:",,,1,,,
1.38E+18,"Israel: descubren que la variante sudafricana limita la eficacia de la vacuna Pfizer de EEUU y BioNTech de Alemania. la prevalencia de la variante era mayor entre los jóvenes sin condiciones de salud previas, pero que aun así se producían cuadros graves.",,,0,,,
1.43E+18,You down bad if you wasn’t getting the vaccine until they started giving out money for it?,,,0,,,
1.39E+18,"Distributing #COVID19 vaccines has been challenging, meaning in some cases vaccines are being delivered close to their expiration date; but the WHO is urging countries to hold on to the doses while it assesses whether shelf lives can be extended. @gavi",,,0,,,
1.44E+18,"On @BBCNolan today - 

Reckless - and a failure of leadership - the SDLP blast DUP, Sinn Féin and the UUP who have opposed mandatory vaccine passports

📻 @bbcradioulster
 
🎧 @BBCSounds
 
📞 03030805555 | 📲 81771",,,x,,,
1.42E+18,i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah,,,1,,,
1.40E+18,"Why r u stopped Ayurveda.. Is it right medicine of allopathi...like ivermectin,azithromicin,redemesvor, vaccine for corona virus... Show the proof.. Pharma black business. Drama #I_SUPPORT_RAMDEV",,,-1,,,
1.41E+18,Serum Institute begins production of Novavax covid vaccine in Pune,,,0,,,
1.41E+18,Groundbreaking 'superhero' vaccine based on Olympic athlete DNA could transform society - Study Finds,,,1,,,
1.43E+18,If you’re over the age of 18 I see no reason as to why you have not gotten the vaccine yet. No excuses 🤷🏼‍♀️,,,1,,,
1.38E+18,"Forsyth County Health Department, Novant Health, Wake Forest Baptist Health pause all Johnson &amp; Johnson COVID-19 vaccines over blood clot concerns",,,0,,,
1.42E+18,Police in Athens Greece unleash water cannons and tear gas against protestors outside the Capital's parliament. People in Greece are protesting the vaccine passports and mandatory vaccinations for some jobs.,,,0,,,
1.43E+18,The KFF COVID-19 Vaccine Monitor is an ongoing research project tracking the public’s attitudes and experiences with COVID-19 vaccinations.,,,0,,,
1.43E+18,The NFL says 93% of players are vaccinated for COVID-19 and the league wanted mandatory vaccination but the NFLPA wouldn’t agree to it.,,,0,,,
1.41E+18,"Dear Australia,
You've been warned, you WILL be vaccinated. State governments now supporting federal stance on mandatory vaccinations if businesses request it. No vaccine, no job, ethics has gone out the window, YOU WILL BE VACCINATED",,,0,,,It is against the totaltarian govt. not vaccination.
1.38E+18,Someone moron on IG just called me a SHEEP for not getting the vaccine 🤯🤣,,,-1,,,
1.37E+18,"I’ve finished my full course of the Moderna vaccine and (alongside arm soreness + chills) it gave me intense, elongated dreams? Very quotidian, not nightmares, but it felt like I went through weeks of little activities and conversations",,,1,,,
1.39E+18,Covid-19 news: UK under-40s to get alternative to AstraZeneca vaccine,,,0,,,
1.42E+18,"Hainkel Home nursing home ⁦@LCMCHealth⁩ reached 95% of staff vaccinated and 99% residents vaccinated as of today 🏆 🏆 🏆 

Louisiana nursing home residents mostly vaccinated; the workers, not so much | Coronavirus |",,,0,,,
1.38E+18,"All Kenyans who took the #SputnikV jab should sue the state for Re-Exporting #SputnikV vaccine 💉 &amp; ENDANGERING lives of so many people who took it,were ready for 2nd one and who were ready to. Matters of health is personal that’s why personally I won’t take the jab. @MOH_Kenya",,,-1,,,
1.42E+18,porfa que me vacunen con Pfizer que tengo casi 20 años y aun no me han crecido las tetas,,,0,,,
1.42E+18,Indiana U.’s Vaccine Mandate Has Survived a Legal Challenge. It’s Still an Anomaly.  from @Oyin_Adedoyin_,,,0,,,
1.44E+18,"Big four UK accountancy firms face radical shake-up NB these are the “consultants of choice” for Fed gov spending on useless Covid apps, wasteful vaccine #strollout etc. Jobs that should go to Australians with realistic salaries/ public service #auspol",,,-1,,,
1.40E+18,Say No To Vaccine Passports - Pauline Hanson’s One Nation Party  via @OneNationAus,,,-1,,,
1.40E+18,I went to the grocery store without a mask for the first time in a long time.  (It is allowed for fully vaccinated customers). Felt weird.,,,0,,,
1.39E+18,"How to Get Promotions, Prizes and Freebies with your COVID-19 Vaccine",,,0,,,
1.37E+18,"With inflation looming and US bond yields rising sharply, I am topping up on the cyclicals and a few stocks that could benefit from vaccine rollouts and economies reopening. Cyclicals imply value.",,X OR 0,,,,
1.38E+18,"1 million Pfizer doses expected this week. London’s N6A neighbourhood has highest positivity rate in the province. Most under 55. Not AZers. Advocate to protect N6A
@Westernu @Healthmac @PublicHealthON @celliottability @fordnation",,1,,,,
1.41E+18,Audience members had to show proof of full vaccination to get into the show  via @TheWrap,,1,,,,
1.42E+18,School districts and some teachers unions are pushing to get students vaccinated,,1,,,,
1.42E+18,"Idaho officials protect vaccine mandate with lies about supporting limited government   

#idleg #idpol",,X,,,,
1.41E+18,"Through a new UNHCR partnership, The Pfizer Foundation is helping address the refugee crisis in Colombia and Bangladesh. Learn more about concrete ways we can all help #StandWithRefugees #PFEColleague",,X,,,,
1.39E+18,Ohio incentivizing people to get vaccinated for a chance at a million dollars is better odds than the lottery,,1,,,,
1.43E+18,"OPINION: No, COVID-19 vaccine passports and mandatory vaccination do not 'protect the health and safety of Canadians'",,0 or -1,,,,
1.39E+18,"Jo BJP ko nagna kare vo Rajiniti karta hai.
BJP Oxygen and Vaccine par bhi jhuth bolne aur rajniti se  baaj nahi aati.",,X,,,,
1.38E+18,New York Launches the First Digital COVID-19 Vaccine Passports in the US,,X,,,,
1.42E+18,All these people made about lollapalooza @lollapalooza and COVID. At the end of the day the world's gotta go on. People are getting vaccinated which is where the virus is literally injected... then we see spikes In cases.. kinda interesting ay,,-1,,,,
1.45E+18,"Yesterday, @SenTedCruz and a bunch of ding dongs were mewling about Southwest pilots being heroes and walking off the job bc of vaccine mandates and whaddyaknow it was all bs. 

Vaccine Mandates Had Nothing To Do With The Massive Flight Cancellations",,0,,,,
1.37E+18,"We still have appointments available for the Moderna COVID-19 Vaccine Clinic being held on Wednesday, March 24th. Call 419-738-3410 and select option 1 to schedule an appointment.",,1,,,,
1.38E+18,Students at Winston-Salem State and Wake Forest will take part in COVID-19 vaccine trial  via @JournalNow #Covid19research,,1,,,,
1.43E+18,"📢A week to go to get vaccinated at Basingstoke Fire Station Vaccination Centre. 
💉Anyone aged 16+, who is eligible for the jab can come forward within the next week before the fire station will be handed back to @HantsIOW_fire 
Read more here: 
@HIOW_ICS",,1,,,,
1.37E+18,"One word springs to mind Dxxk$$$$&amp;! If you don't want the vaccine don't have it, simple.
AstraZeneca counters Indonesian Muslim concerns over COVID-19 vaccine",,0,,,,
1.42E+18,'My vaccine refusal is causing tension with friends - but I don't feel selfish',,-1,,,,
1.41E+18,i got my vaccine and i kinda forgot 💔😢 — it's ok i understand that vaccine made me pass out for like 4h after that first dose,,0,,,,
1.43E+18,Government downplays plan to protect officials against vaccine lawsuits #Thailand #news #Thailandnews,,X,,,,
1.40E+18,"President Nana Addo Dankwa Akufo-Addo has described as sad, Africa’s scramble for COVID-19 vaccines for its people. He says, the inability of countries on the continent to manufacture their own vaccines and the struggle to develop diagnostic test kits...",,0 or X,,,,
1.38E+18,Moderna : U.S. administers 202.3 mln doses of COVID-19 vaccines - CDC,,X,,,,
1.43E+18,"AGAIN I WILL POST THIS
if ANYONE is requiring you to take a vax for your job or to anything. 
THEY should be responsible for any and all side effects!",,-1,,,,
1.41E+18,"These ""Taters"" on who refuse vaccine, are how we could go backwards.
Mu""taters"" are the ones who will kill us all!
 So dang dumb.
i have a nurse i deal with who has taken every other vaccination 4 measles, mumps, whatever we ALL get, but refuses theCovid vaccination.
UhTrumpanzee",,X OR -1,,,,
1.40E+18,"So here's your covid wake up call. Why would you take a vaccine that has a % of killing you, causing blood clots, causing you to be sick in the bed versus covid that affects 1% of the population and even much less than that end up sick from it. I'll skip being sick",,-1,,,,
1.44E+18,"SAUS against mandatory vaccination at universities

South African Union of Students (SAUS) says universities should not compel students to vaccinate against COVID-19.

It says students must be able to choose whether they want to take the vaccine.

Severa…",,0,,,,
1.39E+18,25 Investigates: Lowest income towns in Mass. also have lowest vax rates. Why?,,X,,,,
1.43E+18,OSHA recommends masks for many vaccinated workers #CommercialBuilding #Regulation,,0,,,,
1.38E+18,"Ladies and gentlemen, meet the woman who saved us by creating the MRNA vaccine now used by Moderna and Pfizer.
She’s an immigrant who has never made more than 60K a year.",,X,,,,
1.38E+18,Just voted AND got my COVID J&amp;J vaccine all in one day!,,1,,,,
1.39E+18,"pg 17!
check only-patreon stuff on 
any support helps afford essentials &amp; gear for med school!💪we interns on emergencies area are not even vaccinated yet 🙃 bravo, mexico XD",,0,,,,
1.44E+18,"When I give my dog his ivermectin pill I hide it in a piece of cheese. Since conservatives are cool with taking ivermectin, have we tried hiding the vaccine in a piece of cheese for them?",,0 or -1,,,,
1.40E+18,"Plz have spare on us ....not vaccinated yet neither any vaccination center in our areas 

#cancelboardexam2021 
#ModijiNoOfflineExams 
#cancelassamboardexams2021",,0,,,,
1.38E+18,I am sick to death of the Trudeau bashing in the west.  Our provincial governments are responsible for vaccine roll out.  Our former Conservative federal government sold off our vaccine making labs.  Procurement has been nothing short than huculean.,,0,,,,
1.38E+18,Walgreens Store Injects People With Saline Rather Than COVID Vaccine in Mix-Up,,X,,,,
1.44E+18,"Republican Governors oppose mandatory vaccinations of workers for businesses with 100 employees.  Once again, the crazies on the radical right are opposing science and letting a vocal minority rule influence public policy over the majority who have been vaccinated. Vote them OUT!",,0,,,,
1.38E+18,"Dr. Gregory Madden, Assistant Professor of Medicine at the University of Virginia, recently joined our “VADOC in Focus” video series to discuss vaccine hesitancy, safety, and the risks of COVID-19.",,X OR 0,,,,
1.39E+18,via @NYTimes ⁦@apoorva_nyc⁩ shifts our focus on continuing vaccinations as opposed to herd immunity. Pls include that in the title of this piece...  current title is ammunition to the ‘so-what’ contingent that is resistant to receiving the vaccine...,,0,,,,
1.42E+18,"If we put vaccine mandates to vote before the electorate, how do you think it would go?

Do you think the majority would support mandatory vaccination? I’m not saying that this is what we should do at all, just wondering would it the majority be for or against vaccine mandates.",,0,,,,
1.38E+18,"I had some bad flu-like symptoms with both Moderna vaccines. I’m just coming around after 3 days of vomiting, fever and chills. This is what got me through... @pedialyte",,0,,,,
1.43E+18,"Sources tell Global News that Premier Doug Ford could announce some form of a COVID-19 vaccine ""passport"" as soon as the week of Aug. 30.",,1,,,,
1.42E+18,"Ben alors @EmmanuelMacron
 Apparemment #Pfizer financerait les partis politiques ?!!!..
Tiens donc! 
On va venir vous chercher !!!!..🤣ça ne serait tarder!

Quand Cahuzac affirmait en 2016 que Pfizer finançait de manière occulte la politique française:",,X,,,,
1.44E+18,@stevelackmeyer I think every local Republican leader needs to be asked if they support these vaccine mandates or if they are also an authoritarian threat to individual liberty.,,0,,,,
1.40E+18,Good morning po doc @AlbertDomingo . Respectfully asking if may link po kayo ng updated IATF list for covid vaccine A1 classification (kung sino2 po ang kasali na sa category). Would like to confirm if immediate family member of HCWs can be included na po.  Thank you po,,1,,,,
1.42E+18,"Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",,1,,,,
1.42E+18,#post Dallas Nurse Contracts COVID-19 Months After She Got Vaccinated,,0,,,,
1.42E+18,Excellent explanation of risks of Covid even for those vaccinated.  Why are fully vaccinated people testing positive for Covid?  via @financialtimes,,0,,,,
1.39E+18,bro literally being vaccinated against covid makes me feel so. happy. like i can go see my friends. i can hug the homies. seeing everyone posting that they’re getting their vaccines.... it’s so heart warming lol,,1,,,,
1.41E+18,"We wouldn't normally condone lawlessness but when there's next to no evidence of outdoor transmission, when Wembley is one-third empty, when Wembley has apartheid through vaccine passports... we have to admire fans who gatecrashed. Fair play to ya.

#NoVaccinePassportsAnywhere",,0,,,,
1.39E+18,"My sister just sent me a f'king veterinarian's opinion on the Covid vaccine. Geert Vanden Bossche, who apparently has a video about the coming vaccine catastrophe, is now the darling of the anti-vaxxer/Qspiracy loons. And she has a master's degree in exercise physiology. Geezus",,0,,,,
1.39E+18,This movie was fire. Made me almost cry damn. Also my first movie since fully vaccinated I missed theaters so much,,1,1,1,,
1.38E+18,'60 Minutes' segment on Florida's COVID vaccine rollout spotlights claims of DeSantis favoring wealthy  via @HeraldTribune,,0,0,0,,
1.42E+18,PETITION: No to mandatory vaccination for the coronavirus,,-1,-1,-1,,
1.42E+18,"Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",,1,1,1,,
1.42E+18,Why is the vaccine called a vaccine when it doesn't prevent illness? That's the definition of a vaccine.  Why would there be a vaccine passport when you can still spread the virus? It makes no difference to an unvaccinated person not having a passport.,,0,0,0,,Questioning about the results of vaccines not necessarily against it.
1.38E+18,For the LOVE of GOD do not give the vaccine to people at LEAST 90 days post covid. Especially in the elderly folks. Their bodies over-react to it. They can't handle the increased inflammation.,,0,0,0,,
1.37E+18,"For anyone still considering the vaccine, I would urge you to watch this video

Shot in the Dark | Dr. Sherri Tenpenny on mRNA, J&amp;J Covid-19 Vaccine  via @BitChute",,-1,-1,-1,,
1.45E+18,Candace Owens slams Biden vaccine mandates on 'Kilmeade Show': Now there's a 'pending disaster'  #News #TopStories,,0,0,0,,
